shop_id,date,day_of_week,shop_area_sq_ft,Shop_profile,revenue,quantity_sold
0,2021-10-15,0,580,1.0,10710,38
0,2021-10-16,2,580,1.0,18340,72
0,2021-10-17,3,580,1.0,12015,54
0,2021-10-18,1,580,1.0,11815,60
0,2021-10-19,5,580,1.0,15840,63
0,2021-10-20,6,580,1.0,10710,55
0,2021-10-21,4,580,1.0,12600,48
0,2021-10-22,0,580,1.0,11510,51
0,2021-10-23,2,580,1.0,12070,51
0,2021-10-24,3,580,1.0,7945,39
0,2021-10-25,1,580,1.0,11200,41
0,2021-10-26,5,580,1.0,9340,37
0,2021-10-27,6,580,1.0,7150,34
0,2021-10-28,4,580,1.0,7090,42
0,2021-10-29,0,580,1.0,9075,38
0,2021-10-30,2,580,1.0,11065,49
0,2021-10-31,3,580,1.0,11435,57
0,2021-11-01,1,580,1.0,5490,33
0,2021-11-02,5,580,1.0,3560,18
0,2021-11-03,6,580,1.0,4075,27
0,2021-11-04,4,580,1.0,3785,19
0,2021-11-05,0,580,1.0,3615,21
0,2021-11-06,2,580,1.0,7030,33
0,2021-11-07,3,580,1.0,4630,28
0,2021-11-08,1,580,1.0,6930,37
0,2021-11-09,5,580,1.0,4065,25
0,2021-11-10,6,580,1.0,4035,22
0,2021-11-11,4,580,1.0,3895,24
0,2021-11-12,0,580,1.0,6060,28
0,2021-11-13,2,580,1.0,10495,42
0,2021-11-14,3,580,1.0,10595,43
0,2021-11-15,1,580,1.0,2875,21
0,2021-11-16,5,580,1.0,4180,24
0,2021-11-17,6,580,1.0,11070,43
0,2021-11-18,4,580,1.0,8220,36
0,2021-11-19,0,580,1.0,6065,32
0,2021-11-20,2,580,1.0,13295,72
0,2021-11-21,3,580,1.0,6910,32
0,2021-11-22,1,580,1.0,5130,18
0,2021-11-23,5,580,1.0,2940,16
0,2021-11-24,6,580,1.0,6790,30
0,2021-11-25,4,580,1.0,4800,24
0,2021-11-26,0,580,1.0,18695,75
0,2021-11-27,2,580,1.0,13900,58
0,2021-11-28,3,580,1.0,19900,76
0,2021-11-29,1,580,1.0,19800,63
0,2021-11-30,5,580,1.0,14310,50
0,2021-12-01,6,580,1.0,8020,42
0,2021-12-02,4,580,1.0,18405,71
0,2021-12-03,0,580,1.0,14635,59
0,2021-12-04,2,580,1.0,14685,70
0,2021-12-05,3,580,1.0,13520,61
0,2021-12-06,1,580,1.0,7640,37
0,2021-12-07,5,580,1.0,16595,63
0,2021-12-08,6,580,1.0,10600,47
0,2021-12-09,4,580,1.0,22180,69
