shop_id,date,day_of_week,shop_area_sq_ft,Shop_profile,revenue,quantity_sold,month,day,year,revenue_lag1,quantity_sold_lag1,revenue_7d_mean,quantity_sold_7d_mean,revenue_14d_mean,quantity_sold_14d_mean,revenue_30d_mean,quantity_sold_30d_mean,revenue_7d_sum,quantity_sold_7d_sum,revenue_14d_sum,quantity_sold_14d_sum,revenue_30d_sum,quantity_sold_30d_sum,revenue_7d_median,quantity_sold_7d_median,revenue_14d_median,quantity_sold_14d_median,revenue_30d_median,quantity_sold_30d_median,area_sold_interaction
1,2021-10-15,0,637,,25315,118,10,15,2021,15725.0,66.0,22895.714285714286,93.57142857142857,18580.35714285714,75.78571428571429,14612.5,59.96666666666667,160270.0,655.0,260125.0,1061.0,438375.0,1799.0,21830.0,92.0,17400.0,69.5,14472.5,62.0,75166
1,2021-10-16,2,637,,29110,125,10,16,2021,25315.0,118.0,23455.0,98.28571428571429,19614.285714285714,80.5,15213.833333333334,62.7,164185.0,688.0,274600.0,1127.0,456415.0,1881.0,21830.0,92.0,19962.5,71.5,14660.0,63.0,79625
1,2021-10-17,3,637,,18105,94,10,17,2021,29110.0,125.0,21430.0,92.57142857142857,19858.571428571428,82.21428571428571,15543.333333333334,64.63333333333334,150010.0,648.0,278020.0,1151.0,466300.0,1939.0,21720.0,92.0,19962.5,76.5,15205.0,64.5,59878
1,2021-10-18,1,637,,45990,151,10,18,2021,18105.0,94.0,25399.285714285714,102.71428571428571,22177.85714285714,88.64285714285714,16874.166666666668,68.6,177795.0,719.0,310490.0,1241.0,506225.0,2058.0,21830.0,94.0,21775.0,86.0,16160.0,67.5,96187
1,2021-10-19,5,637,,45600,172,10,19,2021,45990.0,151.0,28810.714285714286,116.85714285714286,24889.285714285714,98.28571428571429,17951.0,71.93333333333334,201675.0,818.0,348450.0,1376.0,538530.0,2158.0,25315.0,118.0,22005.0,92.0,17350.0,67.5,109564
1,2021-10-20,6,637,,34980,122,10,20,2021,45600.0,172.0,30689.285714285714,121.14285714285714,26202.5,102.5,18886.666666666668,74.93333333333334,214825.0,848.0,366835.0,1435.0,566600.0,2248.0,29110.0,122.0,23687.5,93.0,18155.0,69.5,77714
1,2021-10-21,4,637,,49835,174,10,21,2021,34980.0,122.0,35562.142857142855,136.57142857142858,29005.0,111.57142857142857,20376.833333333332,80.13333333333334,248935.0,956.0,406070.0,1562.0,611305.0,2404.0,34980.0,125.0,25255.0,106.0,18305.0,70.5,110838
1,2021-10-22,0,637,,29610,120,10,22,2021,49835.0,174.0,36175.71428571428,136.85714285714286,29535.714285714286,115.21428571428571,21265.833333333332,83.6,253230.0,958.0,413500.0,1613.0,637975.0,2508.0,34980.0,125.0,27212.5,119.0,18550.0,72.0,76440
1,2021-10-23,2,637,,47890,179,10,23,2021,29610.0,120.0,38858.57142857143,144.57142857142858,31156.785714285714,121.42857142857143,22635.833333333332,88.56666666666666,272010.0,1012.0,436195.0,1700.0,679075.0,2657.0,45600.0,151.0,29360.0,121.0,19247.5,74.0,114023
1,2021-10-24,3,637,,24595,99,10,24,2021,47890.0,179.0,39785.71428571428,145.28571428571428,30607.85714285714,118.92857142857143,23295.666666666668,91.06666666666666,278500.0,1017.0,428510.0,1665.0,698870.0,2732.0,45600.0,151.0,27212.5,119.0,19850.0,75.5,63063
1,2021-10-25,1,637,,26140,108,10,25,2021,24595.0,99.0,36950.0,139.14285714285714,31174.64285714286,120.92857142857143,23543.833333333332,92.16666666666667,258650.0,974.0,436445.0,1693.0,706315.0,2765.0,34980.0,122.0,27625.0,119.0,20810.0,78.0,68796
1,2021-10-26,5,637,,27230,102,10,26,2021,26140.0,108.0,34325.71428571428,129.14285714285714,31568.214285714286,123.0,23988.166666666668,93.63333333333334,240280.0,904.0,441955.0,1722.0,719645.0,2809.0,29610.0,120.0,28170.0,119.0,21775.0,86.0,64974
1,2021-10-27,6,637,,27560,114,10,27,2021,27230.0,102.0,33265.71428571428,128.0,31977.5,124.57142857142857,24243.5,94.9,232860.0,896.0,447685.0,1744.0,727305.0,2847.0,27560.0,114.0,28335.0,119.0,22005.0,92.0,72618
1,2021-10-28,4,637,,22290,91,10,28,2021,27560.0,114.0,29330.714285714286,116.14285714285714,32446.428571428572,126.35714285714286,24326.5,95.83333333333333,205315.0,813.0,454250.0,1769.0,729795.0,2875.0,27230.0,108.0,28335.0,119.0,22235.0,92.0,57967
1,2021-10-29,0,637,,15130,72,10,29,2021,22290.0,91.0,27262.14285714286,109.28571428571429,31718.928571428572,123.07142857142857,24353.833333333332,96.56666666666666,190835.0,765.0,444065.0,1723.0,730615.0,2897.0,26140.0,102.0,28335.0,117.0,22235.0,92.0,45864
1,2021-10-30,2,637,,17030,88,10,30,2021,15130.0,72.0,22853.571428571428,96.28571428571429,30856.071428571428,120.42857142857143,24654.166666666668,98.1,159975.0,674.0,431985.0,1686.0,739625.0,2943.0,24595.0,99.0,27395.0,111.0,22235.0,92.0,56056
1,2021-10-31,3,637,,19720,89,10,31,2021,17030.0,88.0,22157.14285714286,94.85714285714286,30971.428571428572,120.07142857142857,24698.0,98.7,155100.0,664.0,433600.0,1681.0,740940.0,2961.0,22290.0,91.0,27395.0,111.0,22235.0,92.0,56693
1,2021-11-01,1,637,,9790,44,11,1,2021,19720.0,89.0,19821.428571428572,85.71428571428571,28385.714285714286,112.42857142857143,24536.5,98.2,138750.0,600.0,397400.0,1574.0,736095.0,2946.0,19720.0,89.0,26685.0,105.0,22235.0,92.0,28028
1,2021-11-02,5,637,,12290,73,11,2,2021,9790.0,44.0,17687.14285714286,81.57142857142857,26006.428571428572,105.35714285714286,24456.666666666668,98.3,123810.0,571.0,364090.0,1475.0,733700.0,2949.0,17030.0,88.0,25367.5,100.5,22235.0,92.0,46501
1,2021-11-03,6,637,,9400,59,11,3,2021,12290.0,73.0,15092.857142857143,73.71428571428571,24179.285714285714,100.85714285714286,24319.333333333332,98.23333333333333,105650.0,516.0,338510.0,1412.0,729580.0,2947.0,15130.0,73.0,23442.5,95.0,22235.0,92.0,37583
1,2021-11-04,4,637,,17800,78,11,4,2021,9400.0,59.0,14451.42857142857,71.85714285714286,21891.071428571428,94.0,24658.0,99.6,101160.0,503.0,306475.0,1316.0,739740.0,2988.0,15130.0,73.0,21005.0,90.0,22235.0,92.0,49686
1,2021-11-05,0,637,,9520,53,11,5,2021,17800.0,78.0,13650.0,69.14285714285714,20456.071428571428,89.21428571428571,24422.166666666668,99.26666666666667,95550.0,484.0,286385.0,1249.0,732665.0,2978.0,12290.0,73.0,18760.0,88.5,22235.0,92.0,33761
1,2021-11-06,2,637,,15830,69,11,6,2021,9520.0,53.0,13478.57142857143,66.42857142857143,18166.071428571428,81.35714285714286,24596.5,100.0,94350.0,465.0,254325.0,1139.0,737895.0,3000.0,12290.0,69.0,17415.0,83.0,22235.0,92.0,43953
1,2021-11-07,3,637,,6975,43,11,7,2021,15830.0,69.0,11657.857142857143,59.857142857142854,16907.5,77.35714285714286,24089.666666666668,99.13333333333334,81605.0,419.0,236705.0,1083.0,722690.0,2974.0,9790.0,59.0,16430.0,75.5,22060.0,92.0,27391
1,2021-11-08,1,637,,7065,41,11,8,2021,6975.0,43.0,11268.57142857143,59.42857142857143,15545.0,72.57142857142857,23485.333333333332,97.43333333333334,78880.0,416.0,217630.0,1016.0,704560.0,2923.0,9520.0,59.0,15480.0,72.5,21775.0,91.5,26117
1,2021-11-09,5,637,,11920,62,11,9,2021,7065.0,41.0,11215.714285714286,57.857142857142854,14451.42857142857,69.71428571428571,22806.666666666668,95.03333333333333,78510.0,405.0,202320.0,976.0,684200.0,2851.0,9520.0,59.0,13710.0,70.5,20720.0,90.0,39494
1,2021-11-10,6,637,,24360,96,11,10,2021,11920.0,62.0,13352.857142857143,63.142857142857146,14222.857142857143,68.42857142857143,23011.833333333332,95.56666666666666,93470.0,442.0,199120.0,958.0,690355.0,2867.0,11920.0,62.0,13710.0,70.5,21775.0,91.5,61152
1,2021-11-11,4,637,,13620,62,11,11,2021,24360.0,96.0,12755.714285714286,60.857142857142854,13603.57142857143,66.35714285714286,22741.833333333332,95.2,89290.0,426.0,190450.0,929.0,682255.0,2856.0,11920.0,62.0,12955.0,65.5,20775.0,91.5,39494
1,2021-11-12,0,637,,15925,94,11,12,2021,13620.0,62.0,13670.714285714286,66.71428571428571,13660.357142857143,67.92857142857143,22545.0,95.26666666666667,95695.0,467.0,191245.0,951.0,676350.0,2858.0,13620.0,62.0,12955.0,65.5,18912.5,92.5,59878
1,2021-11-13,2,637,,36250,148,11,13,2021,15925.0,94.0,16587.85714285714,78.0,15033.214285714286,72.21428571428571,23229.166666666668,98.0,116115.0,546.0,210465.0,1011.0,696875.0,2940.0,13620.0,62.0,12955.0,65.5,21005.0,94.0,94276
1,2021-11-14,3,637,,20745,122,11,14,2021,36250.0,148.0,18555.0,89.28571428571429,15106.42857142857,74.57142857142857,23076.833333333332,98.13333333333334,129885.0,625.0,211490.0,1044.0,692305.0,2944.0,15925.0,94.0,12955.0,65.5,20232.5,94.0,77714
1,2021-11-15,1,637,,5600,30,11,15,2021,20745.0,122.0,18345.714285714286,87.71428571428571,14807.142857142857,73.57142857142857,22293.166666666668,94.96666666666667,128420.0,614.0,207300.0,1030.0,668795.0,2849.0,15925.0,94.0,12955.0,65.5,18912.5,92.5,19110
1,2021-11-16,5,637,,13160,61,11,16,2021,5600.0,30.0,18522.85714285714,87.57142857142857,14869.285714285714,72.71428571428571,22128.333333333332,93.86666666666666,129660.0,613.0,208170.0,1018.0,663850.0,2816.0,15925.0,94.0,13390.0,62.0,18760.0,90.0,38857
1,2021-11-17,6,637,,23675,104,11,17,2021,13160.0,61.0,18425.0,88.71428571428571,15888.92857142857,75.92857142857143,21384.5,92.3,128975.0,621.0,222445.0,1063.0,641535.0,2769.0,15925.0,94.0,14725.0,65.5,18760.0,90.0,66248
1,2021-11-18,4,637,,24610,124,11,18,2021,23675.0,104.0,19995.0,97.57142857142857,16375.357142857143,79.21428571428571,20684.833333333332,90.7,139965.0,683.0,229255.0,1109.0,620545.0,2721.0,20745.0,104.0,14725.0,65.5,18760.0,90.0,78988
1,2021-11-19,0,637,,14640,66,11,19,2021,24610.0,124.0,19811.428571428572,93.57142857142857,16741.071428571428,80.14285714285714,20006.833333333332,88.83333333333333,138680.0,655.0,234375.0,1122.0,600205.0,2665.0,20745.0,104.0,15235.0,67.5,17415.0,88.5,42042
